godina,događaj,lokacija_događaja,voditelj,kategorija,opis,naziv_igre,developer,izdavač,zemlja_podrijetla,platforme,zanrovi,prosjecna_ocjena_metacritic,pobjednik,napomena
2024,The Game Awards 2024,"Peacock Theater, Los Angeles, USA",Geoff Keighley,Best Action Game,Nagrada za najbolju igru koja se temelji prvenstveno na borbenom sustavu i akcijskom igranju.,Black Myth: Wukong,Game Science,Game Science,China,"[""PlayStation 5"",""Windows"",""Xbox Series X/S""]","[""Action"",""Role-playing""]",90,true,Akcijski RPG inspiriran kineskom mitologijom s impresivnim tehničkim postignućima.
2024,The Game Awards 2024,"Peacock Theater, Los Angeles, USA",Geoff Keighley,Best Action Game,Nagrada za najbolju igru koja se temelji prvenstveno na borbenom sustavu i akcijskom igranju.,Call of Duty: Black Ops 6,Treyarch,Activision,USA,"[""PlayStation 4"",""PlayStation 5"",""Windows"",""Xbox One"",""Xbox Series X/S""]","[""First-person"",""Shooter""]",83,false,Nastavak popularnog FPS serijala s fokusom na dinamičnu kampanju i višestruki multiplayer mod.
2024,The Game Awards 2024,"Peacock Theater, Los Angeles, USA",Geoff Keighley,Best Action Game,Nagrada za najbolju igru koja se temelji prvenstveno na borbenom sustavu i akcijskom igranju.,Helldivers II,Arrowhead Game Studios,Sony Interactive Entertainment,Sweden,"[""PlayStation 5"",""Windows""]","[""Shooter"",""Third-person""]",86,false,Kooperativni shooter s taktičkim izazovima i prijateljskim vatrom koji potiče suradnju igrača.
2024,The Game Awards 2024,"Peacock Theater, Los Angeles, USA",Geoff Keighley,Best Action Game,Nagrada za najbolju igru koja se temelji prvenstveno na borbenom sustavu i akcijskom igranju.,Stellar Blade,Shift Up,Sony Interactive Entertainment,South Korea,"[""PlayStation 5""]","[""Action-adventure"",""Hack-and-slash""]",85,false,Akcijska avantura s fokusom na preciznu borbu i vizualno impresivne animacije.
2024,The Game Awards 2024,"Peacock Theater, Los Angeles, USA",Geoff Keighley,Best Action Game,Nagrada za najbolju igru koja se temelji prvenstveno na borbenom sustavu i akcijskom igranju.,"Warhammer 40,000: Space Marine 2",Saber Interactive,Focus Entertainment,USA,"[""PlayStation 5"",""Windows"",""Xbox Series X/S""]","[""Hack-and-slash"",""Shooter"",""Third-person""]",84,false,Nastavak klasične akcijske igre s intenzivnim borbama protiv hordâ neprijatelja.
2024,The Game Awards 2024,"Peacock Theater, Los Angeles, USA",Geoff Keighley,Best Art Direction,Nagrada za izvrsnost u vizualnom dizajnu i umjetničkoj prezentaciji igre.,Astro Bot,Team Asobi,Sony Interactive Entertainment,Japan,"[""PlayStation 5""]","[""Action-adventure"",""Platformer""]",91,false,Šarmantna 3D avantura s preciznom kontrolom i kreativnim korištenjem DualSense mogućnosti.
2024,The Game Awards 2024,"Peacock Theater, Los Angeles, USA",Geoff Keighley,Best Art Direction,Nagrada za izvrsnost u vizualnom dizajnu i umjetničkoj prezentaciji igre.,Black Myth: Wukong,Game Science,Game Science,China,"[""PlayStation 5"",""Windows"",""Xbox Series X/S""]","[""Action"",""Role-playing""]",90,false,Akcijski RPG inspiriran kineskom mitologijom s impresivnim tehničkim postignućima.
2024,The Game Awards 2024,"Peacock Theater, Los Angeles, USA",Geoff Keighley,Best Art Direction,Nagrada za izvrsnost u vizualnom dizajnu i umjetničkoj prezentaciji igre.,Elden Ring: Shadow of the Erdtree,FromSoftware,Bandai Namco Entertainment,Japan,"[""PlayStation 4"",""PlayStation 5"",""Windows"",""Xbox One"",""Xbox Series X/S""]","[""Action"",""Role-playing""]",94,false,"Velika ekspanzija nagrađivane igre, poznata po dubokom dizajnu svijeta i izazovnim borbama."
2024,The Game Awards 2024,"Peacock Theater, Los Angeles, USA",Geoff Keighley,Best Art Direction,Nagrada za izvrsnost u vizualnom dizajnu i umjetničkoj prezentaciji igre.,Metaphor: ReFantazio,Atlus,Sega,Japan,"[""PlayStation 4"",""PlayStation 5"",""Windows"",""Xbox Series X/S""]","[""Role-playing""]",88,true,"Pohvaljena zbog dubine svijeta, političke alegorije i složenog RPG sustava."
2024,The Game Awards 2024,"Peacock Theater, Los Angeles, USA",Geoff Keighley,Best Art Direction,Nagrada za izvrsnost u vizualnom dizajnu i umjetničkoj prezentaciji igre.,Neva,Nomada Studio,Devolver Digital,Spain,"[""Nintendo Switch"",""PlayStation 5"",""Windows"",""Xbox Series X/S""]","[""Platformer"",""Puzzle""]",87,false,Umjetnički platformer koji istražuje teme gubitka i emocionalne povezanosti.
